cycle,state,dem_poll_avg,dem_poll_avg_margin,incumbent_party,incumbent_running,party_winner
2000,New Hampshire,41.003838,-4.454308999999995,democrat,0,republican
2000,New Jersey,48.682663,9.409332999999997,democrat,0,democrat
2000,New Mexico,44.723852,0.813876999999998,democrat,0,democrat
2000,New York,52.79625,16.803188,democrat,0,democrat
2000,North Carolina,41.733597,-9.775023000000004,democrat,0,republican
2000,North Dakota,34.51015,-15.266384000000002,democrat,0,republican
2000,Ohio,42.433913,-7.532077000000001,democrat,0,republican
2000,Oklahoma,37.20398,-18.875150000000005,democrat,0,republican
2000,Oregon,44.507462,0.0406319999999951,democrat,0,democrat
2000,Pennsylvania,46.367906,1.700616999999994,democrat,0,democrat
2000,Rhode Island,52.319718,21.943951,democrat,0,democrat
2000,South Carolina,38.884246000000005,-14.297985999999987,democrat,0,republican
2000,South Dakota,33.539587,-20.723337,democrat,0,republican
2000,Tennessee,46.032948,-1.966265,democrat,0,republican
2000,Texas,32.296191,-27.418452,democrat,0,republican
2000,Utah,24.619824,-37.810292,democrat,0,republican
2000,Vermont,46.85579,9.721018999999998,democrat,0,democrat
2000,Virginia,42.210553,-8.331846999999996,democrat,0,republican
2000,Washington,45.177247,0.1663519999999962,democrat,0,democrat
2000,West Virginia,42.258471,-4.721699999999999,democrat,0,republican
2000,Wisconsin,43.910057,-2.286738,democrat,0,democrat
2000,Wyoming,29.687844,-29.012408,democrat,0,republican
2004,Alabama,35.153022,-21.625471000000005,republican,1,republican
2004,Alaska,31.118299,-26.193216,republican,1,republican
2004,Arizona,42.353901,-9.294016,republican,1,republican
2004,Arkansas,46.05477,-3.820442,republican,1,republican
2004,California,52.385393,10.734135000000002,republican,1,democrat
2004,Colorado,45.309328,-4.2787349999999975,republican,1,republican
2004,Connecticut,50.968638,11.380723999999994,republican,1,democrat
2004,Delaware,47.686023,7.267530000000001,republican,1,democrat
2004,Florida,47.364931,-0.5771170000000012,republican,1,republican
2004,Georgia,41.540177,-12.646300000000004,republican,1,republican
2004,Hawaii,45.794949,2.455362000000001,republican,1,democrat
2004,Idaho,27.835825,-29.752062,republican,1,republican
2004,Illinois,51.746566,8.84516399999999,republican,1,democrat
2004,Indiana,36.95455,-20.308033,republican,1,republican
2004,Iowa,46.264535,-1.1527270000000058,republican,1,republican
2004,Kansas,34.482297,-24.072205000000004,republican,1,republican
2004,Kentucky,38.181241,-18.920992,republican,1,republican
2004,Louisiana,35.99788,-16.13722,republican,1,republican
2004,Maine,50.048318,7.342480999999999,republican,1,democrat
2004,Maryland,53.865381000000006,12.593114000000009,republican,1,democrat
2004,Massachusetts,57.661592000000006,26.167804000000004,republican,1,democrat
2004,Michigan,48.691046,3.661200000000001,republican,1,democrat
2004,Minnesota,48.248413,3.0862669999999994,republican,1,democrat
